pais,region,tramo,anio,ent_nr,ent_brth_nr,ent_dth_nr,ent_srvl_y3_nr,emp_nr,sal_nr,emp_brth_nr,sal_brth_nr,emp_dth_nr,sal_dth_nr,emp_srvl_y3_nr,emp_srvl_ybrth_y3_nr,grw_ent_pc,ent_brthr_dthr_pc,ent_brthr_pc,ent_brth_pp_pc,ent_dthr_pc,ent_dth_pp_pc,ent_srvlr_brth_y3_pc,ent_srvlr_y3_pc,emp_brthr_pc,ent_brth_empsize_nr,sal_emp_brthr_pc,emp_dthr_pc,ent_dth_empsize_nr,grw_emp_srvl_y3_pc,emp_srvlr_y3_pc,ent_srvl_empsize_y3_nr
Spain,Comunidad de Madrid,0,2011,330295,35018,33919,17726,319713,0,33095,0,33411,0,28444,15797,NA,20.87,10.6,81.57,10.27,NA,NA,5.37,10.35,0.95,0,10.45,0.99,80.06,8.9,1.6
Spain,Comunidad de Madrid,0,2012,317921,32886,32080,17506,307119,0,31360,0,32115,0,30131,15984,-3.75,20.43,10.34,80.45,10.09,NA,NA,5.51,10.21,0.95,0,10.46,1,88.51,9.81,1.72
Spain,Comunidad de Madrid,0,2013,315530,34566,31564,17109,303365,0,32820,0,31078,0,27561,15661,-0.75,20.96,10.95,79.33,10,NA,NA,5.42,10.82,0.95,0,10.24,0.98,75.98,9.09,1.61
Spain,Comunidad de Madrid,0,2014,324346,42303,NA,17846,310496,0,40237,0,NA,NA,28211,16315,2.79,NA,13.04,81.17,NA,NA,50.96,5.5,12.96,0.95,0,NA,NA,72.91,9.09,1.58
Spain,Comunidad de Madrid,0,2016,347701,45134,35787,18563,327551,0,42046,0,34841,0,31361,16903,NA,23.27,12.98,80.7,10.29,76.88,53.7,5.34,12.84,0.93,0,10.64,0.97,85.54,9.57,1.69
Spain,Comunidad de Madrid,0,2017,353883,46378,34716,21728,330343,0,42851,0,33260,0,30029,19998,1.78,22.92,13.11,82.18,9.81,76.51,51.36,6.14,12.97,0.92,0,10.07,0.96,50.16,9.09,1.38
Spain,Comunidad de Madrid,0,2018,367507,52630,36498,24443,340453,0,48824,0,34501,0,38527,22447,3.85,24.25,14.32,83.36,9.93,76.6,NA,6.65,14.34,0.93,0,10.13,0.95,71.64,11.32,1.58
Spain,Comunidad de Madrid,0,2019,377500,51558,37623,24197,350270,0,47522,0,35526,0,42611,22108,2.72,23.62,13.66,83.77,9.97,77.1,53.61,6.41,13.57,0.92,0,10.14,0.94,92.74,12.17,1.76
Spain,Comunidad de Madrid,0,2020,373887,38495,NA,24507,346552,0,35801,0,NA,NA,38376,22275,-0.96,NA,10.3,85.26,NA,NA,52.84,6.55,10.33,0.93,0,NA,NA,72.28,11.07,1.57
Spain,Madrid,0,2008,318109,32206,26574,24203,303641,0,29843,0,26430,0,43727,21862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,Madrid,0,2009,326243,32220,32988,22602,318643,0,30435,0,32813,0,35828,20257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,Madrid,0,2010,324465,33807,NA,23364,315048,0,32005,0,NA,NA,37903,20795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,Madrid,0,2011,330295,35018,33919,17726,319713,0,33095,0,33411,0,28444,15797,NA,20.87,10.6,81.57,10.27,NA,NA,5.37,10.35,0.95,0,10.45,0.99,80.06,8.9,1.6
Spain,Madrid,0,2012,317921,32886,32080,17506,307119,0,31360,0,32115,0,30131,15984,-3.75,20.43,10.34,80.45,10.09,NA,NA,5.51,10.21,0.95,0,10.46,1,88.51,9.81,1.72
Spain,Madrid,0,2013,315530,34566,31564,17109,303365,0,32820,0,31078,0,27561,15661,-0.75,20.96,10.95,79.33,10,NA,NA,5.42,10.82,0.95,0,10.24,0.98,75.98,9.09,1.61
Spain,Madrid,0,2014,324346,42303,NA,17846,310496,0,40237,0,NA,NA,28211,16315,2.79,NA,13.04,81.17,NA,NA,50.96,5.5,12.96,0.95,0,NA,NA,72.91,9.09,1.58
Spain,Madrid,0,2016,347701,45134,35787,18563,327551,0,42046,0,34841,0,31361,16903,NA,23.27,12.98,80.7,10.29,76.88,53.7,5.34,12.84,0.93,0,10.64,0.97,85.54,9.57,1.69
Spain,Madrid,0,2017,353883,46378,34716,21728,330343,0,42851,0,33260,0,30029,19998,1.78,22.92,13.11,82.18,9.81,76.51,51.36,6.14,12.97,0.92,0,10.07,0.96,50.16,9.09,1.38
Spain,Madrid,0,2018,367507,52630,36498,24443,340453,0,48824,0,34501,0,38527,22447,3.85,24.25,14.32,83.36,9.93,76.6,NA,6.65,14.34,0.93,0,10.13,0.95,71.64,11.32,1.58
Spain,Madrid,0,2019,377500,51558,37623,24197,350270,0,47522,0,35526,0,42611,22108,2.72,23.62,13.66,83.77,9.97,77.1,53.61,6.41,13.57,0.92,0,10.14,0.94,92.74,12.17,1.76
